Name=hsa-mir-1286;ID=MI0006348
Name=hsa-mir-1291;ID=MI0006353
Name=hsa-mir-548k;ID=MI0006354
Name=hsa-mir-1297;ID=MI0006358
Name=hsa-mir-548l;ID=MI0006361
Name=hsa-mir-1246;ID=MI0006381
Name=hsa-mir-1248;ID=MI0006383
Name=hsa-mir-548n;ID=MI0006399
Name=hsa-mir-320d-1;ID=MI0008190
Name=hsa-mir-320c-2;ID=MI0008191
Name=hsa-mir-320d-2;ID=MI0008192
Name=hsa-mir-1827;ID=MI0008195
Name=hsa-mir-1973;ID=MI0009983
Name=hsa-mir-548q;ID=MI0010637
Name=hsa-mir-3115;ID=MI0014127
Name=hsa-mir-3143;ID=MI0014167
Name=hsa-mir-1260b;ID=MI0014197
Name=hsa-mir-378c;ID=MI0015825
Name=hsa-mir-3609;ID=MI0015999
Name=hsa-mir-3611;ID=MI0016001
Name=hsa-mir-3618;ID=MI0016008
Name=hsa-mir-23c;ID=MI0016010
Name=hsa-mir-3657;ID=MI0016057
Name=hsa-mir-3684;ID=MI0016085
Name=hsa-mir-1268b;ID=MI0016748
Name=hsa-mir-378d-1;ID=MI0016749
Name=hsa-mir-4454;ID=MI0016800
Name=hsa-mir-4461;ID=MI0016807
Name=hsa-mir-548ai;ID=MI0016813
Name=hsa-mir-4473;ID=MI0016825
Name=hsa-mir-4480;ID=MI0016841
Name=hsa-mir-4484;ID=MI0016845
Name=hsa-mir-4485;ID=MI0016846
Name=hsa-mir-4500;ID=MI0016863
Name=hsa-mir-4517;ID=MI0016883
Name=hsa-mir-4521;ID=MI0016887
Name=hsa-mir-1269b;ID=MI0016888
Name=hsa-mir-4791;ID=MI0017438
Name=hsa-mir-5100;ID=MI0019116
Name=hsa-mir-5690;ID=MI0019295
Name=hsa-mir-6087;ID=MI0020364
Name=hsa-mir-7705;ID=MI0025241
Name=hsa-mir-7975;ID=MI0025751
Name=hsa-mir-7977;ID=MI0025753
