Name=hsa-mir-374a;ID=MI0000782
Name=hsa-mir-361;ID=MI0000760
Name=hsa-mir-652;ID=MI0003667
Name=hsa-mir-1277;ID=MI0006419
Name=hsa-mir-92a-2;ID=MI0000094
Name=hsa-mir-19b-2;ID=MI0000075
Name=hsa-mir-20b;ID=MI0001519
Name=hsa-mir-18b;ID=MI0001518
Name=hsa-mir-106a;ID=MI0000113
Name=hsa-mir-450b;ID=MI0005531
Name=hsa-mir-450a-1;ID=MI0001652
Name=hsa-mir-450a-2;ID=MI0003187
Name=hsa-mir-542;ID=MI0003686
Name=hsa-mir-503;ID=MI0003188
Name=hsa-mir-424;ID=MI0001446
Name=hsa-mir-505;ID=MI0003190
Name=hsa-mir-224;ID=MI0000301
Name=hsa-mir-452;ID=MI0001733
Name=hsa-mir-664b;ID=MI0019134
Name=hsa-mir-107;ID=MI0000114
Name=hsa-mir-217;ID=MI0000293
Name=hsa-mir-137;ID=MI0000454
Name=hsa-mir-320a;ID=MI0000542
Name=hsa-mir-449a;ID=MI0001648
Name=hsa-mir-451a;ID=MI0001729
Name=hsa-mir-484;ID=MI0002468
Name=hsa-mir-496;ID=MI0003136
Name=hsa-mir-544a;ID=MI0003515
Name=hsa-mir-573;ID=MI0003580
Name=hsa-mir-641;ID=MI0003656
Name=hsa-mir-643;ID=MI0003658
Name=hsa-mir-421;ID=MI0003685
Name=hsa-mir-151b;ID=MI0003772
Name=hsa-mir-320b-1;ID=MI0003776
Name=hsa-mir-320c-1;ID=MI0003778
Name=hsa-mir-320b-2;ID=MI0003839
Name=hsa-mir-762;ID=MI0003892
Name=hsa-mir-147b;ID=MI0005544
Name=hsa-mir-665;ID=MI0005563
Name=hsa-mir-543;ID=MI0005565
Name=hsa-mir-301b;ID=MI0005568
Name=hsa-mir-940;ID=MI0005762
Name=hsa-mir-941-1;ID=MI0005763
Name=hsa-mir-941-2;ID=MI0005764
Name=hsa-mir-941-3;ID=MI0005765
Name=hsa-mir-941-4;ID=MI0005766
Name=hsa-mir-1291;ID=MI0006353
Name=hsa-mir-548k;ID=MI0006354
Name=hsa-mir-1293;ID=MI0006355
Name=hsa-mir-1294;ID=MI0006356
Name=hsa-mir-1305;ID=MI0006372
Name=hsa-mir-1248;ID=MI0006383
Name=hsa-mir-548n;ID=MI0006399
Name=hsa-mir-1267;ID=MI0006404
Name=hsa-mir-1197;ID=MI0006656
Name=hsa-mir-320d-1;ID=MI0008190
Name=hsa-mir-320c-2;ID=MI0008191
Name=hsa-mir-320d-2;ID=MI0008192
Name=hsa-mir-1973;ID=MI0009983
Name=hsa-mir-3115;ID=MI0014127
Name=hsa-mir-548s;ID=MI0014141
Name=hsa-mir-3143;ID=MI0014167
Name=hsa-mir-1260b;ID=MI0014197
Name=hsa-mir-3167;ID=MI0014198
Name=hsa-mir-3170;ID=MI0014201
Name=hsa-mir-3182;ID=MI0014224
Name=hsa-mir-3199-1;ID=MI0014247
Name=hsa-mir-3199-2;ID=MI0014248
Name=hsa-mir-378c;ID=MI0015825
Name=hsa-mir-3611;ID=MI0016001
Name=hsa-mir-3615;ID=MI0016005
Name=hsa-mir-3618;ID=MI0016008
Name=hsa-mir-23c;ID=MI0016010
Name=hsa-mir-3653;ID=MI0016053
Name=hsa-mir-3687;ID=MI0016088
Name=hsa-mir-3909;ID=MI0016413
Name=hsa-mir-1268b;ID=MI0016748
Name=hsa-mir-4454;ID=MI0016800
Name=hsa-mir-4461;ID=MI0016807
Name=hsa-mir-548ai;ID=MI0016813
Name=hsa-mir-4473;ID=MI0016825
Name=hsa-mir-4484;ID=MI0016845
Name=hsa-mir-548al;ID=MI0016851
Name=hsa-mir-4517;ID=MI0016883
Name=hsa-mir-4521;ID=MI0016887
Name=hsa-mir-4803;ID=MI0017451
Name=hsa-mir-5100;ID=MI0019116
Name=hsa-mir-6087;ID=MI0020364
Name=hsa-mir-7975;ID=MI0025751
Name=hsa-mir-7977;ID=MI0025753
